t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
5002,charging,11.9292,10.0818,0.2012,2.0285,6.8809,0.0000,35.5767,0.2000
229,precharge,12.1340,10.0898,-0.0789,-0.7959,0.0000,0.0000,36.8084,-0.2000
1232,precharge,11.6946,10.0916,-0.1998,-2.0167,0.0000,0.0000,34.1912,-0.2000
2039,precharge,11.3572,10.0923,-0.2030,-2.0492,0.0000,0.0000,32.2464,-0.2000
2491,precharge,11.1588,10.0920,-0.2015,-2.0336,0.0000,0.0000,31.1298,-0.2000
2809,precharge,11.0181,10.0932,-0.2067,-2.0863,0.0000,0.0000,30.3494,-0.2000
3192,precharge,10.8440,10.0912,-0.2049,-2.0681,0.0000,0.0000,29.3983,-0.2000
3453,precharge,10.7218,10.0924,-0.2210,-2.2302,0.0000,0.0000,28.7393,-0.2000
4386,settle1,10.5082,10.0881,-0.0187,-0.1885,0.0000,0.0000,27.6057,0.0000
5615,charging,10.9605,10.0814,0.1986,2.0020,1.8357,0.0000,30.0331,0.2000
6437,charging,11.3090,10.0822,0.1961,1.9770,3.4921,0.0000,31.9733,0.2000
7420,charging,11.6909,10.0811,0.2005,2.0211,5.4648,0.0000,34.1696,0.2000
8493,charging,12.0865,10.0821,0.2003,2.0190,7.6251,0.0000,36.5208,0.2000
9437,charging,12.4063,10.0839,0.2013,2.0303,9.5200,0.0000,38.4790,0.2000
10407,charging,12.7234,10.0790,0.1981,1.9968,11.4807,0.0000,40.4710,0.2000
11436,charging,13.0376,10.0815,0.2015,2.0311,13.5476,0.0000,42.4949,0.2000
11786,charging,13.1387,10.0831,0.1983,1.9993,14.2512,0.0000,43.1562,0.2000
12240,charging,13.2724,10.0826,0.1997,2.0134,15.1667,0.0000,44.0391,0.2000
12754,charging,13.4175,10.0836,0.1987,2.0033,16.2029,0.0000,45.0073,0.2000
13092,charging,13.5105,10.0846,0.1980,1.9968,16.8799,0.0000,45.6334,0.2000
13786,charging,13.6969,10.0821,0.1996,2.0123,18.2771,0.0000,46.9011,0.2000
14071,charging,13.7714,10.0842,0.1982,1.9989,18.8484,0.0000,47.4132,0.2000
14373,charging,13.8472,10.0837,0.1998,2.0149,19.4576,0.0000,47.9364,0.2000
14712,charging,13.9340,10.0827,0.1997,2.0136,20.1378,0.0000,48.5388,0.2000
15041,charging,14.0169,10.0850,0.1965,1.9817,20.7977,0.0000,49.1183,0.2000
15564,charging,14.1444,10.0833,0.1978,1.9945,21.8502,0.0000,50.0161,0.2000
15948,charging,14.2351,10.0843,0.1985,2.0016,22.6219,0.0000,50.6598,0.2000
16613,charging,14.3928,10.0842,0.1978,1.9949,23.9592,0.0000,51.7880,0.2000
16949,charging,14.4698,10.0820,0.1987,2.0028,24.6361,0.0000,52.3435,0.2000
17374,charging,14.5639,10.0862,0.2001,2.0182,25.4904,0.0000,53.0267,0.2000
17906,charging,14.6807,10.0842,0.1985,2.0020,26.5582,0.0000,53.8805,0.2000
18195,charging,14.7274,10.0849,0.1943,1.9593,27.1357,0.0000,54.2243,0.2000
18887,charging,14.8457,10.0855,0.1967,1.9835,28.5097,0.0000,55.0990,0.2000
19413,charging,14.9530,10.0852,0.2004,2.0213,29.5693,0.0000,55.8982,0.2000
19742,charging,15.0189,10.0836,0.2015,2.0323,30.2303,0.0000,56.3917,0.2000
20028,charging,15.0746,10.0838,0.2018,2.0344,30.8021,0.0000,56.8111,0.2000
20702,charging,15.1994,10.0854,0.1980,1.9969,32.1559,0.0000,57.7551,0.2000
21075,charging,15.2673,10.0842,0.1966,1.9825,32.9084,0.0000,58.2727,0.2000
21347,charging,15.3183,10.0856,0.1990,2.0067,33.4532,0.0000,58.6626,0.2000
21675,charging,15.3750,10.0837,0.1978,1.9941,34.1130,0.0000,59.0979,0.2000
22016,charging,15.4369,10.0845,0.2004,2.0207,34.7947,0.0000,59.5744,0.2000
22282,charging,15.4798,10.0859,0.1974,1.9914,35.3270,0.0000,59.9058,0.2000
22715,charging,15.5513,10.0835,0.1992,2.0085,36.1985,0.0000,60.4604,0.2000
23101,charging,15.6160,10.0825,0.1974,1.9901,36.9752,0.0000,60.9646,0.2000
23781,settle2,15.7035,10.0875,0.1078,1.0870,38.0182,0.0000,61.6503,0.0000
24061,settle2,15.6812,10.0896,0.0013,0.0128,38.0182,0.0000,61.4750,0.0000
24342,discharging,15.6304,10.0928,-0.1364,-1.3767,38.0182,0.1743,61.0777,-0.2000
24778,discharging,15.5192,10.0927,-0.1980,-1.9983,38.0182,0.9614,60.2111,-0.2000
25168,discharging,15.4229,10.0939,-0.1997,-2.0155,38.0182,1.7481,59.4663,-0.2000
25538,discharging,15.3338,10.0932,-0.1992,-2.0102,38.0182,2.4877,58.7812,-0.2000
26086,discharging,15.1982,10.0919,-0.1954,-1.9721,38.0182,3.5871,57.7467,-0.2000
26358,discharging,15.1323,10.0934,-0.2003,-2.0222,38.0182,4.1306,57.2470,-0.2000
26691,discharging,15.0474,10.0947,-0.1999,-2.0176,38.0182,4.7974,56.6061,-0.2000
26987,discharging,14.9766,10.0966,-0.1994,-2.0128,38.0182,5.3920,56.0749,-0.2000
27613,discharging,14.8203,10.0953,-0.1981,-1.9999,38.0182,6.6465,54.9104,-0.2000
28055,discharging,14.7298,10.0956,-0.1937,-1.9553,38.0182,7.5309,54.2417,-0.2000
28646,discharging,14.5979,10.0944,-0.1991,-2.0098,38.0182,8.7015,53.2745,-0.2000
28939,discharging,14.5221,10.0945,-0.2003,-2.0216,38.0182,9.2929,52.7231,-0.2000
29405,discharging,14.3985,10.0945,-0.2013,-2.0319,38.0182,10.2262,51.8291,-0.2000
29695,discharging,14.3233,10.0938,-0.1966,-1.9840,38.0182,10.8100,51.2894,-0.2000
30079,discharging,14.2147,10.0931,-0.2000,-2.0185,38.0182,11.5823,50.5142,-0.2000
30407,discharging,14.1259,10.0951,-0.1980,-1.9987,38.0182,12.2378,49.8856,-0.2000
