t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
987,settle1,10.5157,9.5875,-0.0074,-0.0707,0.0000,0.0000,27.6450,0.0000
586,charging,10.5946,9.5845,0.0339,0.3253,0.0167,0.0000,28.0616,0.2000
897,charging,10.7508,9.5853,0.2018,1.9345,0.4746,0.0000,28.8950,0.2000
1135,charging,10.8516,9.5828,0.2011,1.9270,0.9373,0.0000,29.4393,0.2000
1518,charging,11.0129,9.5843,0.1980,1.8978,1.6745,0.0000,30.3209,0.2000
1766,charging,11.1144,9.5848,0.2020,1.9362,2.1501,0.0000,30.8827,0.2000
2123,charging,11.2571,9.5816,0.1994,1.9108,2.8397,0.0000,31.6805,0.2000
2566,charging,11.4293,9.5830,0.2026,1.9411,3.6939,0.0000,32.6575,0.2000
3256,charging,11.6863,9.5845,0.2032,1.9479,5.0242,0.0000,34.1425,0.2000
3788,charging,11.8781,9.5842,0.2010,1.9268,6.0467,0.0000,35.2725,0.2000
4786,charging,12.2182,9.5839,0.1977,1.8951,7.9651,0.0000,37.3209,0.2000
5827,charging,12.5512,9.5808,0.1993,1.9090,9.9683,0.0000,39.3832,0.2000
6749,charging,12.8348,9.5823,0.1983,1.9005,11.7396,0.0000,41.1828,0.2000
7740,charging,13.1218,9.5830,0.1994,1.9109,13.6415,0.0000,43.0454,0.2000
8792,charging,13.4163,9.5813,0.2011,1.9264,15.6617,0.0000,44.9993,0.2000
9922,charging,13.7142,9.5843,0.2013,1.9292,17.8288,0.0000,47.0197,0.2000
10854,charging,13.9458,9.5857,0.1982,1.8998,19.6162,0.0000,48.6211,0.2000
11124,charging,14.0116,9.5858,0.2011,1.9277,20.1333,0.0000,49.0811,0.2000
11729,charging,14.1553,9.5866,0.2015,1.9321,21.2942,0.0000,50.0929,0.2000
12020,charging,14.2225,9.5850,0.2004,1.9207,21.8481,0.0000,50.5701,0.2000
12378,charging,14.3052,9.5856,0.1976,1.8937,22.5374,0.0000,51.1599,0.2000
13228,charging,14.4967,9.5858,0.2007,1.9242,24.1634,0.0000,52.5388,0.2000
13607,charging,14.5773,9.5844,0.1977,1.8952,24.8884,0.0000,53.1246,0.2000
14133,charging,14.6908,9.5870,0.1994,1.9112,25.8977,0.0000,53.9550,0.2000
14637,charging,14.7556,9.5831,0.2000,1.9166,26.8452,0.0000,54.4316,0.2000
14918,charging,14.8117,9.5859,0.1987,1.9045,27.3843,0.0000,54.8470,0.2000
15474,charging,14.9226,9.5871,0.1982,1.9002,28.4497,0.0000,55.6712,0.2000
15790,charging,14.9858,9.5861,0.2006,1.9232,29.0538,0.0000,56.1439,0.2000
16172,charging,15.0577,9.5852,0.1974,1.8920,29.7854,0.0000,56.6832,0.2000
