t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
2000,charging,10.7566,10.0919,0.2005,2.0235,0.8971,0.0000,28.9263,0.2000
202,precharge,10.9494,10.0959,-0.0747,-0.7538,0.0000,0.0000,29.9723,-0.2000
514,precharge,10.7754,10.0964,-0.1976,-1.9955,0.0000,0.0000,29.0274,-0.2000
818,precharge,10.6317,10.0985,-0.1973,-1.9928,0.0000,0.0000,28.2583,-0.2000
1223,settle1,10.4927,10.0971,-0.1727,-1.7433,0.0000,0.0000,27.5244,0.0000
1489,settle1,10.5072,10.0959,-0.0299,-0.3016,0.0000,0.0000,27.6003,0.0000
1791,charging,10.5179,10.0942,0.0528,0.5334,0.0063,0.0000,27.6568,0.2000
2093,charging,10.6649,10.0923,0.1988,2.0063,0.4747,0.0000,28.4351,0.2000
2407,charging,10.8096,10.0939,0.1999,2.0181,1.1070,0.0000,29.2116,0.2000
2692,charging,10.9329,10.0927,0.1997,2.0150,1.6771,0.0000,29.8821,0.2000
3050,charging,11.0933,10.0918,0.2021,2.0394,2.3995,0.0000,30.7656,0.2000
3364,charging,11.2213,10.0921,0.1972,1.9904,3.0323,0.0000,31.4792,0.2000
3597,charging,11.3138,10.0948,0.2009,2.0282,3.4987,0.0000,32.0003,0.2000
3956,charging,11.4687,10.0937,0.1971,1.9890,4.2249,0.0000,32.8828,0.2000
4269,charging,11.5893,10.0920,0.1960,1.9779,4.8519,0.0000,33.5782,0.2000
4834,charging,11.8097,10.0933,0.1989,2.0077,5.9892,0.0000,34.8671,0.2000
5202,charging,11.9478,10.0927,0.2002,2.0206,6.7311,0.0000,35.6875,0.2000
5593,charging,12.0900,10.0935,0.2018,2.0372,7.5203,0.0000,36.5421,0.2000
5902,charging,12.2051,10.0947,0.1988,2.0064,8.1422,0.0000,37.2414,0.2000
6310,charging,12.3506,10.0939,0.2009,2.0279,8.9623,0.0000,38.1345,0.2000
6873,charging,12.5462,10.0928,0.1995,2.0139,10.0970,0.0000,39.3519,0.2000
7352,charging,12.7066,10.0921,0.1987,2.0057,11.0596,0.0000,40.3642,0.2000
7916,charging,12.8888,10.0958,0.1967,1.9854,12.1972,0.0000,41.5306,0.2000
8166,charging,12.9733,10.0939,0.2021,2.0400,12.6969,0.0000,42.0765,0.2000
8682,charging,13.1342,10.0948,0.2004,2.0231,13.7332,0.0000,43.1268,0.2000
8943,charging,13.2142,10.0925,0.2005,2.0236,14.2624,0.0000,43.6541,0.2000
9298,charging,13.3215,10.0960,0.1989,2.0086,14.9769,0.0000,44.3653,0.2000
9701,charging,13.4426,10.0911,0.1988,2.0058,15.7872,0.0000,45.1758,0.2000
9999,charging,13.5283,10.0928,0.1985,2.0034,16.3873,0.0000,45.7536,0.2000
10311,charging,13.6172,10.0922,0.1971,1.9890,17.0146,0.0000,46.3571,0.2000
10699,charging,13.7279,10.0931,0.2019,2.0378,17.7960,0.0000,47.1137,0.2000
11010,charging,13.8131,10.0936,0.1979,1.9971,18.4197,0.0000,47.7001,0.2000
11260,charging,13.8818,10.0930,0.2007,2.0252,18.9235,0.0000,48.1761,0.2000
11535,charging,13.9552,10.0938,0.1961,1.9796,19.4764,0.0000,48.6872,0.2000
11847,charging,14.0414,10.0921,0.1980,1.9986,20.1031,0.0000,49.2903,0.2000
12157,charging,14.1210,10.0926,0.2002,2.0209,20.7233,0.0000,49.8506,0.2000
12468,charging,14.2041,10.0951,0.2006,2.0248,21.3423,0.0000,50.4389,0.2000
13028,charging,14.3507,10.0944,0.2007,2.0263,22.4787,0.0000,51.4856,0.2000
13272,charging,14.4081,10.0957,0.1978,1.9967,22.9703,0.0000,51.8980,0.2000
13796,charging,14.5359,10.0946,0.1994,2.0125,24.0230,0.0000,52.8233,0.2000
14280,charging,14.6522,10.0946,0.1991,2.0102,24.9933,0.0000,53.6715,0.2000
14567,charging,14.7145,10.0942,0.2020,2.0393,25.5676,0.0000,54.1289,0.2000
14923,charging,14.7612,10.0935,0.1995,2.0132,26.2682,0.0000,54.4731,0.2000
15179,charging,14.8188,10.0956,0.2009,2.0278,26.7832,0.0000,54.8989,0.2000
15798,charging,14.9516,10.0937,0.1986,2.0048,28.0049,0.0000,55.8876,0.2000
16101,charging,15.0218,10.0930,0.2019,2.0382,28.6349,0.0000,56.4138,0.2000
16456,charging,15.0953,10.0957,0.1976,1.9945,29.3494,0.0000,56.9669,0.2000
16742,charging,15.1495,10.0936,0.1970,1.9885,29.9225,0.0000,57.3772,0.2000
17053,charging,15.2177,10.0955,0.1978,1.9969,30.5471,0.0000,57.8948,0.2000
17417,charging,15.2899,10.0954,0.1969,1.9877,31.2757,0.0000,58.4451,0.2000
17866,charging,15.3760,10.0950,0.1975,1.9938,32.1791,0.0000,59.1053,0.2000
18395,charging,15.4771,10.0932,0.1999,2.0178,33.2446,0.0000,59.8853,0.2000
19138,charging,15.6104,10.0937,0.1991,2.0094,34.7345,0.0000,60.9212,0.2000
19684,settle2,15.7021,10.0951,0.1941,1.9598,35.8064,0.0000,61.6388,0.0000
20247,hold,15.6899,10.0961,0.0017,0.0174,35.8064,0.0000,61.5435,0.0000
21021,hold,15.6676,10.0983,0.0001,0.0011,35.8064,0.0000,61.3686,0.0000
21379,hold,15.6580,10.0957,0.0006,0.0063,35.8064,0.0000,61.2931,0.0000
21647,hold,15.6487,10.0963,0.0005,0.0053,35.8064,0.0000,61.2207,0.0000
22012,hold,15.6390,10.0966,-0.0002,-0.0021,35.8064,0.0000,61.1447,0.0000
22309,hold,15.6318,10.0977,-0.0008,-0.0079,35.8064,0.0000,61.0883,0.0000
22805,hold,15.6190,10.0977,-0.0000,-0.0002,35.8064,0.0000,60.9883,0.0000
23219,hold,15.6082,10.0995,-0.0002,-0.0022,35.8064,0.0000,60.9043,0.0000
23838,hold,15.5946,10.0972,-0.0000,-0.0003,35.8064,0.0000,60.7975,0.0000
24355,hold,15.5851,10.0964,-0.0006,-0.0064,35.8064,0.0000,60.7240,0.0000
