t_ms,phase,v_cap,v_bus,iL,p_bus_W,E_in_J,E_out_J,E_cap_inst_J,i_cmd_eff
743,charging,10.6067,10.0928,0.1034,1.0433,0.0133,0.0000,28.1256,0.5000
602,precharge,10.6489,10.0999,-0.4926,-4.9751,0.0000,0.0000,28.3499,-0.5000
885,settle1,10.5298,10.0963,-0.1361,-1.3737,0.0000,0.0000,27.7192,0.0000
1623,charging,11.0317,10.0869,0.5001,5.0441,1.2699,0.0000,30.4247,0.5000
2119,charging,11.5387,10.0881,0.4987,5.0312,3.7680,0.0000,33.2852,0.5000
2873,charging,12.2329,10.0887,0.4998,5.0426,7.5715,0.0000,37.4107,0.5000
3658,charging,12.8799,10.0871,0.4974,5.0169,11.5263,0.0000,41.4727,0.5000
4049,charging,13.1797,10.0891,0.5007,5.0517,13.4915,0.0000,43.4263,0.5000
4683,charging,13.6293,10.0892,0.4975,5.0197,16.6857,0.0000,46.4395,0.5000
5177,charging,13.9562,10.0891,0.5000,5.0445,19.1660,0.0000,48.6937,0.5000
5690,charging,14.2794,10.0902,0.4958,5.0025,21.7469,0.0000,50.9751,0.5000
6248,charging,14.6068,10.0892,0.5022,5.0664,24.5498,0.0000,53.3394,0.5000
6543,charging,14.7354,10.0896,0.4876,4.9193,26.0075,0.0000,54.2828,0.5000
6896,charging,14.9199,10.0900,0.4980,5.0248,27.7924,0.0000,55.6511,0.5000
7528,charging,15.2386,10.0892,0.4995,5.0392,30.9680,0.0000,58.0541,0.5000
7885,charging,15.4077,10.0915,0.4984,5.0298,32.7612,0.0000,59.3497,0.5000
8266,charging,15.5788,10.0894,0.4939,4.9831,34.6750,0.0000,60.6749,0.5000
8531,charging,15.6914,10.0883,0.5003,5.0469,36.0057,0.0000,61.5547,0.5000
9024,settle2,15.6260,10.0957,0.0013,0.0132,36.1215,0.0000,61.0431,0.0000
9335,discharging,15.4154,10.1047,-0.4827,-4.8774,36.1215,0.8292,59.4085,-0.5000
10045,discharging,14.9600,10.1019,-0.4941,-4.9909,36.1215,4.3832,55.9505,-0.5000
10373,discharging,14.7593,10.1036,-0.4970,-5.0215,36.1215,6.0277,54.4590,-0.5000
10871,discharging,14.4609,10.1026,-0.4999,-5.0500,36.1215,8.5088,52.2791,-0.5000
11630,discharging,13.9257,10.1012,-0.4950,-5.0003,36.1215,12.3172,48.4812,-0.5000
12067,discharging,13.5899,10.0998,-0.4957,-5.0069,36.1215,14.5114,46.1711,-0.5000
13187,discharging,12.6694,10.1020,-0.4997,-5.0482,36.1215,20.1353,40.1281,-0.5000
13934,discharging,11.9958,10.1028,-0.4973,-5.0243,36.1215,23.9031,35.9748,-0.5000
14477,discharging,11.4569,10.1021,-0.5065,-5.1171,36.1215,26.6563,32.8150,-0.5000
14813,discharging,11.1003,10.1003,-0.5134,-5.1852,36.1215,28.3841,30.8039,-0.5000
15056,discharging,10.8294,10.1008,-0.5100,-5.1514,36.1215,29.6640,29.3191,-0.5000
15379,discharging,10.5335,10.1008,-0.4601,-4.6470,36.1215,31.2817,27.7384,-0.5000
15935,done,10.5444,10.0953,-0.0091,-0.0915,36.1215,31.4604,27.7961,0.0000
